
============================================================
ANALISIS: NVDA | P2TrendPutStrategy | ENTRADA: 183.10 | TP: 181.60 | SL: 187.60
20:45 | 183.55 | 183.66 | 182.79 | 183.13 | 9571417 
14:30 | 185.07 | 185.40 | 183.26 | 184.05 | 12512358 
14:45 | 184.06 | 184.28 | 182.96 | 183.10 | 7925026 
15:00 | 183.10 | 183.24 | 181.90 | 182.37 | 8888781 
15:15 | 182.37 | 183.59 | 182.22 | 183.09 | 7729922 
15:30 | 183.08 | 183.41 | 182.64 | 183.16 | 4984898 
15:45 | 183.15 | 183.34 | 182.76 | 183.02 | 4048928 
16:00 | 183.01 | 183.21 | 182.24 | 182.62 | 4317593 [ENTRADA]
16:15 | 182.62 | 182.89 | 182.40 | 182.44 | 3656444 
16:30 | 182.44 | 182.58 | 181.68 | 182.34 | 4925256 
16:45 | 182.34 | 182.58 | 182.16 | 182.17 | 2997497 
17:00 | 182.18 | 182.19 | 181.74 | 181.99 | 3525839 
17:15 | 181.98 | 183.10 | 181.96 | 182.70 | 6370355 
17:30 | 182.70 | 182.95 | 182.31 | 182.59 | 3628579 
17:45 | 182.58 | 182.60 | 181.87 | 182.06 | 3467856 
18:00 | 182.06 | 182.63 | 182.05 | 182.42 | 3905191 
18:15 | 182.42 | 182.71 | 182.34 | 182.41 | 2387541 
18:30 | 182.41 | 183.20 | 182.40 | 182.84 | 3379144 
18:45 | 182.85 | 183.23 | 182.70 | 182.98 | 2697470 
19:00 | 183.00 | 183.47 | 182.96 | 183.25 | 3856065 
19:15 | 183.26 | 183.34 | 183.02 | 183.04 | 2542314 
19:30 | 183.03 | 183.16 | 182.64 | 182.68 | 2613772 
19:45 | 182.69 | 182.84 | 182.31 | 182.34 | 2957630 
20:00 | 182.33 | 182.49 | 182.06 | 182.28 | 3274110 
20:15 | 182.27 | 182.69 | 182.21 | 182.64 | 3649868 
20:30 | 182.64 | 182.93 | 182.28 | 182.38 | 4809278 
20:45 | 182.38 | 182.47 | 181.81 | 181.96 | 7283465 
14:30 | 182.57 | 182.82 | 180.72 | 181.64 | 10871761 
14:45 | 181.65 | 182.60 | 181.61 | 182.47 | 6741222 
15:00 | 182.47 | 183.38 | 182.20 | 182.43 | 7137442 
15:15 | 182.45 | 182.94 | 182.13 | 182.28 | 4737914 
15:30 | 182.28 | 182.81 | 182.10 | 182.11 | 4638348 
15:45 | 182.10 | 182.77 | 181.84 | 182.76 | 4357409 
16:00 | 182.77 | 183.24 | 182.61 | 182.95 | 5451096 

============================================================
ANALISIS: TSLA | P2TrendPutStrategy | ENTRADA: 395.49 | TP: 393.99 | SL: 399.99
RESULTADO: EN CURSO
============================================================

Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 396.22 | 400.06 | 394.97 | 398.78 | 3990022 
14:45 | 398.72 | 401.08 | 398.72 | 401.03 | 2778932 
15:00 | 401.07 | 402.90 | 400.15 | 402.08 | 3141935 
15:15 | 402.06 | 403.73 | 401.46 | 402.32 | 2706717 
15:30 | 402.37 | 402.37 | 400.17 | 400.56 | 2245784 
15:45 | 400.54 | 401.55 | 399.95 | 400.90 | 2028933 
16:00 | 400.91 | 401.07 | 399.42 | 400.16 | 1711700 
16:15 | 400.18 | 400.67 | 399.23 | 400.14 | 1509559 
16:30 | 400.16 | 400.98 | 399.77 | 400.58 | 1262965 
16:45 | 400.62 | 400.94 | 398.20 | 398.33 | 1580428 
17:00 | 398.31 | 398.80 | 397.60 | 398.20 | 1833996 
17:15 | 398.17 | 398.36 | 396.49 | 396.88 | 1672533 
17:30 | 396.90 | 397.95 | 396.45 | 397.66 | 1436296 
17:45 | 397.64 | 397.70 | 396.70 | 397.41 | 1095537 
18:00 | 397.41 | 398.34 | 397.31 | 397.64 | 1199377 
18:15 | 397.62 | 397.81 | 396.75 | 396.92 | 968306 
18:30 | 396.92 | 397.83 | 396.82 | 396.86 | 1047028 
18:45 | 396.88 | 397.42 | 396.42 | 396.57 | 1119826 
19:00 | 396.59 | 398.29 | 396.53 | 397.97 | 1135968 
19:15 | 398.00 | 398.43 | 397.83 | 398.07 | 996124 
19:30 | 398.07 | 398.25 | 397.12 | 397.38 | 1001412 
19:45 | 397.38 | 397.40 | 396.85 | 397.05 | 1056234 
20:00 | 397.05 | 399.25 | 396.40 | 396.68 | 1614708 [ENTRADA]
20:15 | 396.67 | 397.15 | 396.00 | 396.59 | 1466511 
20:30 | 396.59 | 396.76 | 395.20 | 395.28 | 1323859 
20:45 | 395.28 | 395.88 | 394.42 | 395.49 | 2386200 
14:30 | 395.69 | 397.32 | 393.00 | 396.39 | 3680562 
14:45 | 396.48 | 398.00 | 395.63 | 397.71 | 2493133 
15:00 | 397.74 | 398.32 | 396.45 | 397.51 | 2213927 
15:15 | 397.51 | 398.24 | 396.63 | 397.40 | 2002443 
15:30 | 397.37 | 399.74 | 397.10 | 399.52 | 2365592 
15:45 | 399.50 | 400.11 | 398.69 | 398.89 | 1781958 
16:00 | 398.88 | 399.37 | 397.76 | 397.97 | 1544631 
16:15 | 397.94 | 398.57 | 397.05 | 397.43 | 1214762 
16:30 | 397.41 | 397.73 | 395.75 | 396.37 | 1487839 
16:45 | 396.38 | 397.67 | 396.33 | 397.11 | 1205760 
