strategy	ticker	trades	pnl
c3 bounce	GEV	1	-1255.32
c3 bounce	AMD	2	-1273.9
c3 bounce	CRM	1	-1413.18
c3 bounce	LULU	1	-1471.93
c3 bounce	GOOGL	2	-1808.83
c5 continuation	ALB	6	2767.33
c5 continuation	LULU	1	1538.05
c5 continuation	ENPH	3	898.52
c5 continuation	AMD	4	775.98
c5 continuation	CRWD	1	724.14
c5 continuation	DELL	1	539.85
c5 continuation	AMZN	1	533.92
c5 continuation	APA	5	480.46
c5 continuation	BABA	1	426.9
c5 continuation	COIN	1	365.49
c5 continuation	DVN	1	253.05
c5 continuation	DOW	1	252.32
c5 continuation	CMG	1	251.93
c5 continuation	HAL	1	160.35
c5 continuation	BA	2	138.55
c5 continuation	BAC	1	137.27
c5 continuation	AFRM	5	128.3
c5 continuation	JD	4	65.23
c5 continuation	AMDL	1	47.38
c5 continuation	ANET	4	41.45
c5 continuation	CCL	2	-40.05
c5 continuation	AES	1	-108.75
c5 continuation	C	3	-146.74
c5 continuation	AAL	5	-168.91
c5 continuation	GM	1	-183.22
c5 continuation	DAL	1	-184.16
c5 continuation	LRCX	1	-242.34
c5 continuation	AMAT	1	-437.37
c5 continuation	GOOGL	1	-583.37
c5 continuation	GOOG	1	-584.62
c5 continuation	CVX	1	-777.28
c5 continuation	IWM	1	-853.95
c5 continuation	DIS	2	-905.26
c5 continuation	ADBE	3	-1199.04
c5 continuation	AAPL	4	-1471.3
c6 reversal	AAPL	31	12844.66
c6 reversal	COIN	17	12678.85
c6 reversal	CRM	15	11311.41
c6 reversal	ADBE	24	8936.68
c6 reversal	DIA	21	8330.77
c6 reversal	IBM	9	7759.28
c6 reversal	BABA	12	7524.61
c6 reversal	BA	18	5697.71
c6 reversal	AMZN	26	5536.07
c6 reversal	GOOGL	12	4480.9
c6 reversal	ARM	15	3964.78
c6 reversal	AVGO	16	3958.87
c6 reversal	AMD	19	2917.67
c6 reversal	LLY	12	2772.14
c6 reversal	FSLR	18	2745.61
c6 reversal	IWM	11	2677.97
c6 reversal	DELL	11	2439.59
c6 reversal	ANET	18	2405.36
c6 reversal	JPM	13	2299.82
c6 reversal	ARKK	17	2157.88
c6 reversal	DIS	15	2089.85
c6 reversal	CEG	14	1951.61
c6 reversal	GM	9	1705.14
c6 reversal	ENPH	19	1682.54
c6 reversal	BITX	17	1668.58
c6 reversal	CMG	13	1641.04
c6 reversal	GE	18	1512.28
c6 reversal	CVNA	18	1369.09
c6 reversal	DVN	15	1337.43
c6 reversal	AFRM	14	1291.17
c6 reversal	JD	11	1291.14
c6 reversal	BAC	14	1186.02
c6 reversal	BMY	14	1149.77
c6 reversal	APA	17	1033.56
c6 reversal	DOW	15	975.36
c6 reversal	CVS	13	932.43
c6 reversal	KO	9	886.52
c6 reversal	CVX	11	874.07
c6 reversal	CRWD	11	754.71
c6 reversal	KHC	16	736.65
c6 reversal	HOOD	11	730.88
c6 reversal	HAL	10	501.31
c6 reversal	DAL	21	430.08
c6 reversal	GLW	9	427.32
c6 reversal	AMDL	12	362.16
c6 reversal	INTC	22	348.3
c6 reversal	AES	16	278.51
c6 reversal	GOOG	14	261.29
c6 reversal	F	12	201.51
c6 reversal	FCX	7	198.38
c6 reversal	BYND	12	151.8
c6 reversal	HPE	7	53.25
c6 reversal	AAL	18	48.65
c6 reversal	CMCSA	9	-134.86
c6 reversal	LULU	11	-366.59
c6 reversal	CCL	19	-492.62
c6 reversal	GEV	5	-1002.69
c6 reversal	LRCX	4	-1077.2
c6 reversal	ALB	13	-1561.19
c6 reversal	C	12	-1918.06
c6 reversal	AMAT	21	-3474.99
c6 reversal	DDOG	20	-3592.61
p1 squeeze	ADBE	13	18746.52
p1 squeeze	GEV	10	13084.29
p1 squeeze	AMZN	16	9617.28
p1 squeeze	CEG	7	9561.49
p1 squeeze	LLY	9	8051.76
p1 squeeze	CRM	12	7793.29
p1 squeeze	COIN	4	6534.25
p1 squeeze	AAPL	13	6033.38
p1 squeeze	CRWD	6	5998.81
p1 squeeze	DIA	5	4465.74
p1 squeeze	AVGO	9	3961.1
p1 squeeze	C	8	3686.68
p1 squeeze	GE	6	3522.43
p1 squeeze	DAL	11	3076.83
p1 squeeze	BA	10	3051.3
p1 squeeze	JPM	9	2998.94
p1 squeeze	AMD	7	2550.98
p1 squeeze	GOOG	8	2024.06
p1 squeeze	CVNA	4	1931.88
p1 squeeze	IBM	4	1915.55
p1 squeeze	DIS	11	1828.9
p1 squeeze	DVN	15	1807.94
p1 squeeze	GM	7	1650.85
p1 squeeze	BMY	11	1645.18
p1 squeeze	HAL	12	1635.77
